55,1,92fcd655-ebc1-450b-a0c9-d33958d07345,西安泰康拜博口腔未央大明宫门诊部,zhaoly18,1,2019-08-14 18:10:22,111,,
56,4,92fcd655-ebc1-450b-a0c9-d33958d07345,西安拜博未央口腔门诊部,zhaoly18,1,2019-08-14 18:10:22,111,,
57,5,92fcd655-ebc1-450b-a0c9-d33958d07345,西安拜博未央亚美口腔门诊部,zhaoly18,1,2019-08-14 18:10:22,111,,
58,6,92fcd655-ebc1-450b-a0c9-d33958d07345,西安拜博雁塔赛格口腔门诊部,zhaoly18,1,2019-08-14 18:10:22,111,,
59,8,92fcd655-ebc1-450b-a0c9-d33958d07345,西安拜博未央亚泰口腔门诊部,zhaoly18,1,2019-08-14 18:10:22,111,,
60,9,92fcd655-ebc1-450b-a0c9-d33958d07345,西安拜博雁塔高新路口腔门诊部,zhaoly18,1,2019-08-14 18:10:22,111,,
61,11,92fcd655-ebc1-450b-a0c9-d33958d07345,沈阳龙之梦门诊,zhaoly18,1,2019-08-14 18:10:23,111,,
62,12,92fcd655-ebc1-450b-a0c9-d33958d07345,沈阳和平门诊,zhaoly18,1,2019-08-14 18:10:23,111,,
63,13,92fcd655-ebc1-450b-a0c9-d33958d07345,沈阳中街门诊,zhaoly18,1,2019-08-14 18:10:23,111,,
64,14,92fcd655-ebc1-450b-a0c9-d33958d07345,沈阳铁西门诊,zhaoly18,1,2019-08-14 18:10:23,111,,
65,15,92fcd655-ebc1-450b-a0c9-d33958d07345,沈阳北站医院,zhaoly18,1,2019-08-14 18:10:23,111,,
66,17,92fcd655-ebc1-450b-a0c9-d33958d07345,长春临河街口腔医院,zhaoly18,1,2019-08-14 18:10:23,111,,
67,18,92fcd655-ebc1-450b-a0c9-d33958d07345,长春绿园门诊,zhaoly18,1,2019-08-14 18:10:23,111,,
68,19,92fcd655-ebc1-450b-a0c9-d33958d07345,长春二道门诊,zhaoly18,1,2019-08-14 18:10:23,111,,
69,20,92fcd655-ebc1-450b-a0c9-d33958d07345,长春高新门诊,zhaoly18,1,2019-08-14 18:10:23,111,,
70,21,92fcd655-ebc1-450b-a0c9-d33958d07345,长春红旗门诊,zhaoly18,1,2019-08-14 18:10:23,111,,
71,22,92fcd655-ebc1-450b-a0c9-d33958d07345,长春经开门诊,zhaoly18,1,2019-08-14 18:10:23,111,,
72,23,92fcd655-ebc1-450b-a0c9-d33958d07345,长春净月门诊,zhaoly18,1,2019-08-14 18:10:23,111,,
73,24,92fcd655-ebc1-450b-a0c9-d33958d07345,长春开运门诊,zhaoly18,1,2019-08-14 18:10:24,111,,
74,25,92fcd655-ebc1-450b-a0c9-d33958d07345,长春西安大路门诊,zhaoly18,1,2019-08-14 18:10:24,111,,
75,26,92fcd655-ebc1-450b-a0c9-d33958d07345,长春亚泰门诊,zhaoly18,1,2019-08-14 18:10:24,111,,
76,27,92fcd655-ebc1-450b-a0c9-d33958d07345,长春汽车厂门诊,zhaoly18,1,2019-08-14 18:10:24,111,,
77,29,92fcd655-ebc1-450b-a0c9-d33958d07345,大连拜博口腔医院,zhaoly18,1,2019-08-14 18:10:24,111,,
78,30,92fcd655-ebc1-450b-a0c9-d33958d07345,大连五一门诊,zhaoly18,1,2019-08-14 18:10:24,111,,
79,31,92fcd655-ebc1-450b-a0c9-d33958d07345,大连拜博杏林街口腔门诊,zhaoly18,1,2019-08-14 18:10:24,111,,
80,32,92fcd655-ebc1-450b-a0c9-d33958d07345,大连高新区门诊,zhaoly18,1,2019-08-14 18:10:24,111,,
81,34,92fcd655-ebc1-450b-a0c9-d33958d07345,郑州拜博口腔惠济门诊,zhaoly18,1,2019-08-14 18:10:24,111,,
82,35,92fcd655-ebc1-450b-a0c9-d33958d07345,郑州拜博口腔二七门诊,zhaoly18,1,2019-08-14 18:10:24,111,,
83,36,92fcd655-ebc1-450b-a0c9-d33958d07345,郑州拜博口腔金水门诊,zhaoly18,1,2019-08-14 18:10:24,111,,
84,37,92fcd655-ebc1-450b-a0c9-d33958d07345,郑州拜博口腔农业路医院,zhaoly18,1,2019-08-14 18:10:24,111,,
